spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
29368,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,1700,251.975269,428357.9573,,,Rent,13855,2024-08-30
29369,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,2600,251.975269,655135.6994,,,Rent,13855,2024-08-30
29370,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,3000,251.975269,755925.807,,,Rent,13855,2024-08-30
29371,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,5000,251.975269,1259876.345,,,Rent,13855,2024-08-30
29302,13,1,LOMAS DE SANTA FE,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.3662711,-99.2612743,2374,750,1780500,,,Rent,13934,2024-08-29
29323,9,1,RENOVACION,Iztapalapa,Ciudad de México,Center,Iztapalapa,19.3662108,-99.0542947,3779,225,850275,,,Rent,13934,2024-08-29
23588,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.366026,-99.171422,3048,440,1341120,,,Rent,8463,2024-02-21
28689,13,1,ACTIPAN,Benito Juárez,Ciudad de México,Center,,19.3659237,-99.1780948,477,,,350,166950,Sale,15932,2024-07-31
23590,11,2,DEL VALLE SUR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36591413,-99.17195319,9126,460,4197960,,,Rent,8463,2024-02-21
23313,11,2,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.365897,-99.162702,2090,350,731500,,,Rent,8463,2024-02-21
20817,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.365735,-99.2651762,626,348.888834,218404.4101,,,Rent,8463,2024-01-26
20801,11,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.365556,-99.194528,715,350,250250,101653,72681895,Rent & Sale,8463,2024-01-26
